Domain,Unique Identifier,Code,Name,State Code,EPA Region Code,EPA Name,EPA Identifier,Last Change Date
Tribe(TribalCode),152,	534,Picayune Rancheria of Chukchansi Indians of California,CA,9,Picayune Rancheria of Chukchansi Indians of California,100000201,7/26/2006 10:57:50 AM
Tribe(TribalCode),153,	535,Pinoleville Rancheria of Pomo Indians of California,CA,9,"Pinoleville Pomo Nation, California",100000202,7/26/2006 10:57:50 AM
Tribe(TribalCode),154,	536,"Pit River Tribe, California",CA,9,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",100000203,7/26/2006 10:57:50 AM
Tribe(TribalCode),155,	537,Potter Valley Rancheria of Pomo Indians of California,CA,9,"Potter Valley Tribe, California",100000209,7/26/2006 10:57:50 AM
Tribe(TribalCode),156,	538,"Redding Rancheria, California",CA,9,"Redding Rancheria, California",100000238,7/26/2006 10:57:50 AM
Tribe(TribalCode),157,	539,Redwood Valley Rancheria of Pomo Indians of California,CA,9,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,100000239,7/26/2006 10:57:50 AM
Tribe(TribalCode),158,	540,"Round Valley Indian Tribes of the Round Valley Reservation, California",CA,9,"Round Valley Indian Tribes, Round Valley Reservation, California",100000245,7/26/2006 10:57:50 AM
Tribe(TribalCode),159,	541,Rumsey Indian Rancheria of Wintun Indians of California,CA,9,"Yocha Dehe Wintun Nation, California",100000335,7/26/2006 10:57:50 AM
Tribe(TribalCode),160,	542,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",CA,9,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",100000258,7/26/2006 10:57:50 AM
Tribe(TribalCode),161,	545,Greenville Rancheria of Maidu Indians of California,CA,9,Greenville Rancheria,100000095,7/26/2006 10:57:50 AM
Tribe(TribalCode),162,	546,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria, California",CA,9,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",100000272,7/26/2006 10:57:50 AM
Tribe(TribalCode),163,	547,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",CA,9,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",100000121,7/26/2006 10:57:50 AM
Tribe(TribalCode),164,	549,"Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California",CA,9,Bishop Paiute Tribe,100000189,7/26/2006 10:57:50 AM
Tribe(TribalCode),165,	550,"Susanville Indian Rancheria, California",CA,9,"Susanville Indian Rancheria, California",100000294,7/26/2006 10:57:50 AM
Tribe(TribalCode),166,	551,Table Mountain Rancheria of California,CA,9,Table Mountain Rancheria,100000297,7/26/2006 10:57:50 AM
